"PERMIT_NO","APPLIED_DATE","APPROVED_DATE","ISSUED_DATE","FINALED_DATE","EXPIRED_DATE","PARENT_PROJECT_NO","PARENT_PERMIT_NO","PermitType","PermitSubType","STATUS","ZONING_CODE1","ZONING_CODE2","SITE_SUBDIVISION","SITE_DESCRIPTION","SITE_APN","SITE_ADDR","SITE_UNIT_NO","SITE_CITY","SITE_ZIP","DESCRIPTION","NOTES","JOBVALUE","FEES_CHARGED","FEES_PAID","CONTRACTOR_NAME","LONGITUDE","LATITUDE"
"PLUM21-0208","2021-01-29 00:00:00","","","","","","","PLUMBING","PLUMBING","UNDER REVIEW","R4B","","","","09-12-08-200-025","3046 SIGNATURE BLVD K","K","ANN ARBOR","48103","Kitchen sink and toilet","","0","110","0","Martinez Miguel ; Colt Plumbing LLC","-83.7542","42.24059"
"PLUM21-0209","2021-01-29 00:00:00","","","","","","","PLUMBING","PLUMBING","UNDER REVIEW","R4B","","","","09-12-08-200-025","3046 SIGNATURE BLVD F","F","ANN ARBOR","48103","Kitchen sink and toilet","","0","110","0","Martinez Miguel ; Colt Plumbing LLC","-83.7542","42.24059"
"PLUM21-0210","2021-01-29 00:00:00","","","","","","","PLUMBING","PLUMBING","UNDER REVIEW","R4B","","","","09-12-08-200-025","3046 SIGNATURE BLVD D","D","ANN ARBOR","48103","Kitchen sink and toilet","","0","125","0","Martinez Miguel ; Colt Plumbing LLC","-83.7542","42.24059"
"ROW21-0124","2021-01-30 00:00:00","","","","","","","RIGHT OF WAY","SERVICE LEAD","UNDER REVIEW","","","","COBBLESTONE FARM
","09-12-03-307-052","2781 PACKARD RD","","Ann Arbor","48108","RENEW EXISTING GAS SERVICE TO COBBLESTONE FARMS","REPLACES ROW20-1573 - THIS IS A SERVICE LEAD, NOT A MAIN REAPIR NOR INSTALL

(2/1/2021 8:26 AM MB)
sent to Eng to review - cancelled row20-1573 


Good afternoon Michelle,

ROW21-0124

I was unable to modify the application to reflect that it was not a main repair.  But it is also not a main install, so I created the new application and used the subtype SERVICE LEAD.  Cobblestone Farms increased their gas usage and requires that the gas service lead to their property to be improved.  Jason Nealis of Ann Arbor is the project contact and he is cc’d in this email.

I have made the requested revisions:

•	The permit is no longer submitted as a gas main repair
•	The drawing includes a profile of the proposed gas crossing the other utilities (although the records received from Ann Arbor do not include any elevation data where we cross existing facilities – see attached).
•	The drawing shows and labels the 12” water main.
•	The drawing shows and labels the PLD conduits.

If you have any questions, please contact me.

Thank you,

David Walsh
Gas Planner
313-212-6555

(2/2/2021 8:22 AM MB)
ROW permit application on hold:  note from engineer who reviewed your permit request: 

Add a depth for the gas service lead.  It must be placed at least 36" below grade and 12" above the water main.

Once you load a new drawing with the depth added into eTrakit, please emailcustomerservice@a2gov.org so they can have your permit application reviewed.","22000","475","0","Michcon - David Walsh","-83.71064","42.24563"
"PLUM21-0214","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-02-02 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R3","","","","09-12-05-303-309","355 ROLLING MEADOW DR","","Ann Arbor","48103","Water heater","","0","65","65","Hutzel Plumbing & Heating","-83.75459","42.25029"
"MECH21-0308","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-31 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R1D","","","","09-09-16-201-072","2805 DILLON DR","","Ann Arbor","48105","Pre fab fireplace","","0","135","135","Williams Distributing Co","",""
"MECH21-0309","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R1D","","","","09-09-16-201-044","2871 DILLON DR","","Ann Arbor","48105","Pre fab fireplace","","0","135","135","Williams Distributing Co","",""
"BLDG21-0164","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","BUILDING","RES OTC","ISSUED","R1D","","PACKARD LAWN ADDIT","","09-09-33-310-023","1415 HENRY ST","","Ann Arbor","48104","Replace 5 windows - same for same","","2888","145","145","George Meyer Co LLC","-83.73216","42.26194"
"BLDG21-0165","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","BUILDING","RES OTC","ISSUED","R1C","","LAKE WOOD SUBDIVIS","","09-08-25-107-028","281 MASON AVE","","Ann Arbor","48103","Replace 8 windows 1 door & 2 sliding doors- same for  same","","10724","225","225","George Meyer Co LLC","-83.789","42.27956"
"BLDG21-0166","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","BUILDING","RES OTC","ISSUED","R1B","","","","09-09-20-204-014","516 SUNSET RD","","Ann Arbor","48103","Replace 2 windows same for same","","1182","135","135","George Meyer Co LLC","-83.7533","42.29421"
"BLDG21-0167","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","BUILDING","RES OTC","ISSUED","R1C","","HURON HIGHLANDS","","09-09-16-320-002","684 CLOVERDALE RD","","Ann Arbor","48105","Replace 8 windows same for same","","6427","185","185","George Meyer Co LLC","-83.73587","42.30792"
"BLDG21-0168","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","BUILDING","RES OTC","ISSUED","R1C","","LANSDOWNE NO. 2","","09-12-06-111-011","1449 MOREHEAD DR","","Ann Arbor","48103","Replace 10 windows same for same","","5973","175","175","George Meyer Co LLC","-83.76558","42.25151"
"ELEC21-0272","2021-01-31 00:00:00","2021-02-05 00:00:00","2021-02-05 00:00:00","","2021-08-07 00:00:00","","","ELECTRICAL","ELECTRICAL","ISSUED","R1C","","BARNARD HEIGHTS","","09-09-31-417-001","1405 WESTFIELD AVE","","Ann Arbor","48103","Remodel basement","(1/31/2021 4:55 PM CHH2)
Check too much. S/B $166 - $151 plus $15 reg","0","151","151","Micro Electric, Ltd","-83.76705","42.2639"
"ELEC21-0274","2021-01-31 00:00:00","2021-02-04 00:00:00","2021-02-04 00:00:00","","2021-08-04 00:00:00","","","ELECTRICAL","ELECTRICAL","ISSUED","R1C","","LAUREL MEADOW","","09-09-31-409-003","1834 MERSHON DR","","Ann Arbor","48103","Wire kitchen & 2nd flr bath - new circuits-smoke detectors","(2/4/2021 8:57 AM CHH2)
Check too much. s/b $156.00. let msg and sending email.
","0","141","141","DLS Electrical","-83.76703","42.2582"
"MECH21-0310","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","PLUM21-0216","MECHANICAL","MECHANICAL","ISSUED","","","BOULEVARD MANOR","","09-09-30-309-002","581 BURWOOD AVE","","Ann Arbor","48103","Replace furnace","","0","100","100","Hutzel Plumbing & Heating","-83.77581","42.27514"
"MECH21-0311","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R2A","","","","09-09-20-407-017","206 W SUMMIT ST","","Ann Arbor","48103","Replace furnace","","0","120","120","One Hour Heating & A/C","",""
"ELEC21-0271","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","MECH21-0310","ELECTRICAL","ELECTRICAL","ISSUED","","","BOULEVARD MANOR","","09-09-30-309-002","581 BURWOOD AVE","","Ann Arbor","48103","Replace furnace","","0","75","75","Hutzel Plumbing & Heating","-83.77581","42.27514"
"ELEC21-0273","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","MECH21-0311","ELECTRICAL","ELECTRICAL","ISSUED","","","","","09-09-20-407-017","206 W SUMMIT ST","","Ann Arbor","48103","Replace furnace","","0","75","75","Mister Sparky","",""
"BLDG21-0163","2021-01-31 00:00:00","2021-01-31 00:00:00","","","","","","BUILDING","RES OTC","ON HOLD","R1A","","ANN ARBOR HILLS","","09-09-34-411-007","1720 GLENWOOD RD","","Ann Arbor","48104","Install 12 vinyl replacement windows & 1 doorwall","(1/31/2021 5:27 PM CHH2)
hold for flag","13860","255","255","Wallside Inc dba Wallside Window","-83.70188","42.2601"
"BLDG21-0169","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","BUILDING","RES OTC","ISSUED","R1A","","HUNTING VALLEY SUB","","09-09-34-406-001","2705 PROVINCIAL DR","","Ann Arbor","48104","Replace 2 windows & 2 doors - same for same","","7650","195","195","George Meyer Co LLC","-83.70667","42.2653"
"BLDG21-0170","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","BUILDING","RES OTC","ISSUED","R4A","","SMOKLER HUTZEL SUB","","09-12-09-104-089","3254 ALPINE DR","","Ann Arbor","48108","Replace 2 windows & 2 doors - same for same","","1840","135","135","George Meyer Co LLC","-83.72892","42.24286"
"BLDG21-0171","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","BUILDING","RES OTC","ISSUED","R1C","","LIBERTY GLEN SUBDI","","09-08-25-404-056","2935 ATTERBERRY DR","","Ann Arbor","48103","Replace 1 patio door - same for same","","2558","145","145","George Meyer Co LLC","-83.78729","42.27604"
"BLDG21-0172","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","BUILDING","RES OTC","ISSUED","R4A","","","","09-08-25-404-174","563 LIBERTY POINTE DR","","Ann Arbor","48103","Replace 3 windows and 1 sliding door - same for same","","4583","165","165","George Meyer Co LLC","-83.78542","42.27518"
"BLDG21-0173","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","BUILDING","RES OTC","ISSUED","R1B","","DRAPPATZ SECOND AD","","09-12-03-200-007","2020 HALL AVE","","Ann Arbor","48104","Replace 2 windows  - same for same","","2064","145","145","George Meyer Co LLC","-83.71982","42.25775"
"BLDG21-0174","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","BUILDING","RES OTC","ISSUED","R3","","CRANBROOK SUB.","","09-12-05-303-049","557 GALEN CIR","","Ann Arbor","48103","Replace 1 window  - same for same","","808","115","115","George Meyer Co LLC","-83.7556","42.24814"
"BLDG21-0175","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","BUILDING","RES OTC","ISSUED","R1C","","FOREST HILLS SUB.","","09-09-14-205-033","2451 TRENTON CT","","Ann Arbor","48105","Replace 10 window  - same for same","","6264","185","185","George Meyer Co LLC","-83.70004","42.31145"
"PLUM21-0211","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","PLUMBING","PLUMBING","ISSUED","R1C","","SMOKLER HUTZEL SUB","","09-12-09-105-011","2874 N BAYLIS DR","","Ann Arbor","48108","Replace water heater","","0","65","65","Hoover Electric Inc","-83.72498","42.24179"
"PLUM21-0212","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","PLUMBING","PLUMBING","ISSUED","R4A","","","","09-12-05-303-190","119 W OAKBROOK DR","","Ann Arbor","48103","Replace water heater","","0","65","65","Hoover Electric Inc","-83.75074","42.24679"
"PLUM21-0213","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","PLUMBING","PLUMBING","ISSUED","R3","","CRANBROOK SUB.","","09-12-05-303-018","520 GALEN CIR","","Ann Arbor","48103","Replace water heater","","0","65","65","Hoover Electric Inc","-83.7556","42.24814"
"PLUM21-0215","2021-01-31 00:00:00","2021-01-31 00:00:00","2021-01-31 00:00:00","","2021-07-30 00:00:00","","","PLUMBING","PLUMBING","ISSUED","R1D","","ARBOR-VIEW","","09-09-19-414-024","701 LINDA VISTA AVE","","Ann Arbor","48103","Water heater","","0","65","65","Hutzel Plumbing & Heating","-83.76509","42.28703"
"PLUM21-0216","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","","PLUMBING","PLUMBING","ISSUED","R1D","","ARBOR HEIGHTS SUB'","","09-09-19-318-040","906 DUNCAN ST","","Ann Arbor","48103","Replace water heater","","0","65","65","Hoover Electric Inc","-83.77463","42.29009"
"PLUM21-0217","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-09 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R2A","","GRAND VIEW","","09-09-30-117-019","1605 DEXTER AVE","","Ann Arbor","48103","Supply & Install 40G,Standard Vent,Natural gas water heater","","0","65","65","Dynamic Drains LLC","-83.76758","42.28214"
"PLUM21-0222","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-08-02 00:00:00","","","PLUMBING","PLUMBING","ISSUED","C1","","W.S. MAYNARD'S 2ND","","09-09-29-416-009","704 S MAIN ST","","Ann Arbor","48104","replace section of cast iron sewer line with PVC","","0","230","100","Express Plbg Htg & Mechanical","-83.74993","42.27254"
"PLUM21-0223","2021-02-01 00:00:00","2021-02-19 00:00:00","2021-02-19 00:00:00","","2021-08-18 00:00:00","","","PLUMBING","PLUMBING","ISSUED","R4C","","ROGER'S SUBDIVISIO","","09-09-33-217-017","926 PACKARD ST","","Ann Arbor","48104","Sewer repair","","0","115","115","Thornton & Grooms Inc","-83.73764","42.26774"
"PLUM21-0224","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","","PLUMBING","PLUMBING","ISSUED","R3","","","","09-09-26-204-172","604 WATERSEDGE DR","","Ann Arbor","48105","Install New Fixture","","0","130","130","DTL Plumbing LLC","",""
"ROW21-0125","2021-02-01 00:00:00","2021-02-12 00:00:00","2021-02-12 00:00:00","","2022-02-12 00:00:00","","METRO16-0002","RIGHT OF WAY","TELECOM/FIBER (METRO ACT)","ISSUED","","","MARTIN ACRES","","09-09-19-320-015","1125 SAUNDERS CRES","","Ann Arbor","48103","Aerial Firber Optic cable attached to existing DTE poles","(2/2/2021 11:45 AM MB)
Sent to Eng to review.","0","0","0","","-83.77151","42.29209"
"ROW21-0126","2021-02-01 00:00:00","2021-02-12 00:00:00","2021-02-12 00:00:00","","2022-02-12 00:00:00","","METRO16-0002","RIGHT OF WAY","TELECOM/FIBER (METRO ACT)","ISSUED","","","MARTIN ACRES NO. 2","","09-09-19-321-010","1221 SAUNDERS CRES","","Ann Arbor","48103","Aerial Fiber Optic cable attached to existing DTE poles","(2/2/2021 11:46 AM MB)
Sent to Eng to review.","0","0","0","","-83.77161","42.29307"
"ROW21-0128","2021-02-01 00:00:00","2021-02-12 00:00:00","2021-02-12 00:00:00","","2022-02-12 00:00:00","","","RIGHT OF WAY","TELECOM/FIBER (METRO ACT)","ISSUED","","","WESTPORT HILLS SUB","","09-09-19-103-007","1612 HILLRIDGE BLVD","","Ann Arbor","48103","Aerial Fiber Optic cable attached to existing DTE poles","(2/2/2021 11:47 AM MB)
Sent to Eng to review.","0","0","0","","-83.76905","42.29468"
"ROW21-0131","2021-02-01 00:00:00","2021-02-12 00:00:00","2021-02-12 00:00:00","","2022-02-12 00:00:00","","METRO16-0002","RIGHT OF WAY","TELECOM/FIBER (METRO ACT)","ISSUED","R1C","","MARTIN ACRES","","09-09-19-202-006","1445 HATCHER CRES","","Ann Arbor","48103","Aerial Fiber Optic cable attached to existing DTE poles","(2/2/2021 11:48 AM MB)
Sent to Eng to review.","0","0","0","","-83.77548","42.29411"
"ROW21-0132","2021-02-01 00:00:00","2021-02-12 00:00:00","2021-02-12 00:00:00","","2022-02-12 00:00:00","","METRO16-0002","RIGHT OF WAY","TELECOM/FIBER (METRO ACT)","ISSUED","","","MARTIN ACRES","","09-09-19-203-008","2011 HELEN ST","","Ann Arbor","48103","Aerial Fiber Optic cable attached to existing DTE poles","(2/2/2021 11:49 AM MB)
Sent to Eng to review.","0","0","0","","-83.77467","42.29428"
"TCP21-0109","2021-02-01 00:00:00","2021-02-02 00:00:00","2021-02-02 00:00:00","","2021-02-05 00:00:00","","ROW20-1530","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","ANN ARBOR LAND COM","","09-09-29-402-011","307 S DIVISION ST","","Ann Arbor","48104","Lane closure to Flow Fill core holes from spotting utilities","(2/1/2021 3:53 PM BN)
No Fees- Metro Act","0","0","0","123.NET - JACOB RODRIGUEZ","-83.74384","42.27909"
"TCP21-0110","2021-02-01 00:00:00","2021-02-02 00:00:00","2021-02-02 00:00:00","","2021-02-05 00:00:00","","ROW20-1530","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","ANN ARBOR LAND COM","","09-09-29-402-010","306 THOMPSON ST","","Ann Arbor","48104","LANE CLOSURES FOR SPOTTING EXISTING UTILITIES","(2/1/2021 3:51 PM BN)
No Fees- Metro Act","0","0","0","123.NET - JACOB RODRIGUEZ","-83.74359","42.27909"
"TCP21-0112","2021-02-01 00:00:00","2021-02-03 00:00:00","2021-02-03 00:00:00","","2021-02-06 00:00:00","","ROW20-0604","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","","","FRISINGER LAND COM","","09-09-33-416-008","1517 E STADIUM BLVD","","Ann Arbor","48104","Sewer Lines CIPP Lining","Contractor will be using signs, arrow Board, and cones for one Lane Closure. Maintaining traffic and bike lanes with share the road signs.

(2/2/2021 8:41 PM BN)
TRANSFER OF FUNDS_ 2018 Sanitary Sewer Lining-Igor Kotlyar

(2/5/2021 3:48 PM MB)
j/e 2021-6054","50000","38.75","38.75","IPR GREAT LAKES","-83.7281","42.26111"
"BLDG21-0176","2021-02-01 00:00:00","2021-02-18 00:00:00","2021-02-18 00:00:00","","2021-08-17 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R1C","","ORCHARD CREST SUBD","","09-12-03-205-011","2020 CAMELOT RD","","Ann Arbor","48104","Relocate and remodel kitchen","","45087","755","755","Dream Maker Bath & Kitchen By World","-83.7178","42.25359"
"BLDG21-0177","2021-02-01 00:00:00","2021-02-08 00:00:00","2021-02-08 00:00:00","","2021-08-07 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","PUD","","JEWETTS ADD.","","09-09-29-209-066","245 MULHOLLAND AVE","","Ann Arbor","48103","Kitchen and upper bathroom remodel","(2/1/2021 1:54 PM JHY)
emailed - exterior work will require seperate HDC approval","47347.57","779","779","Dream Maker Bath & Kitchen By World","-83.75707","42.27998"
"BLDG21-0178","2021-02-01 00:00:00","2021-02-10 00:00:00","2021-02-12 00:00:00","","2021-08-11 00:00:00","","","BUILDING","COMM ADD/ALT","ISSUED","R4A","","","","09-09-21-401-062","1261 ISLAND DR 202","202","Ann Arbor","48105","Remodel bathroom","(2/10/2021 12:07 PM JHY)
emailed for signature on app.  Once rcvd, permit can be issued","23734","491","491","Dream Maker Bath & Kitchen By World","-83.73031","42.29122"
"ELEC21-0275","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-08-02 00:00:00","","","ELECTRICAL","ELECTRICAL","ISSUED","R1D","","ARBOR HEIGHTS","","09-09-19-311-004","2109 ARLENE ST","","Ann Arbor","48103","Wiring of a Finished Basement","(2/1/2021 9:19 AM SKOK)
need to pay registration and permit, emailed

(2/1/2021 12:49 PM SKOK)
received","0","121","121","Steele Electric Inc","-83.77393","42.28657"
"ELEC21-0276","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","MECH21-0312","ELECTRICAL","ELECTRICAL","ISSUED","","","PACKARD LAWN ADDIT","","09-09-33-329-001","1111 HENRY ST","","Ann Arbor","48104","Replacing HVAC with new + humidifier","","0","100","100","365 Mechanical LLC","-83.73552","42.26177"
"ELEC21-0277","2021-02-01 00:00:00","2021-02-02 00:00:00","2021-02-02 00:00:00","","2021-08-01 00:00:00","","","ELECTRICAL","ELECTRICAL","ISSUED","C1A/R","","","LAND PARCEL FOR BEEKMAN ON BROADWAY","09-09-21-302-120","1200 BROADWAY ST","","Ann Arbor","48105","Installing EV Charging Station","","0","57","57","HIRST ELECTRIC","",""
"ELEC21-0279","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-08 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R1D","","","","09-09-16-202-008","2816 DILLON DR","","Ann Arbor","48105","Install pre-construction meter for temp service","","0","70","70","Corby Energy Services Inc","",""
"ELEC21-0281","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-08-10 00:00:00","","","ELECTRICAL","ELECTRICAL","ISSUED","R1C","","RIVERVIEW ACRES","","09-09-21-205-006","1818 CHANDLER RD","","Ann Arbor","48105","Wiring of new Bedroom","","0","145","145","Jaco Electric","-83.73713","42.29988"
"ELEC21-0285","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-08-07 00:00:00","","","ELECTRICAL","ELECTRICAL","ISSUED","R1C","","FOREST HILLS SUBDI","","09-09-14-302-022","2174 YORKTOWN DR","","Ann Arbor","48105","New Elec for Addition and Remodel","","0","375","375","Newell Charles","-83.69791","42.30649"
"ELEC21-0286","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-08-01 00:00:00","","","ELECTRICAL","ELECTRICAL","ISSUED","R1C","","SMOKLER HUTZEL SUB","","09-12-04-405-023","2861 E EISENHOWER PKWY","","Ann Arbor","48108","Master Bedroom Addition","","0","148","148","Scio Electric Services","-83.72656","42.24538"
"ELEC21-0287","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-03 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R3","","","","09-12-02-318-015","2637 PITTSFIELD BLVD","","Ann Arbor","48104","Furnace Wired to Code","","0","75","75","County Line Electric","",""
"ELEC21-0289","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","MECH21-0321","ELECTRICAL","ELECTRICAL","ISSUED","R1C","","PITTSFIELD HILLS S","","09-12-02-402-022","3 GALLWAY CT","","Ann Arbor","48104","Replace Gas Furnace","","0","75","75","Indoor Comfort Co","-83.6887","42.24924"
"ELEC21-0290","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","MECH21-0325","ELECTRICAL","ELECTRICAL","ISSUED","","","SMOKLER BOLGOS SUB","","09-09-14-201-021","3256 BLUETT DR","","Ann Arbor","48105","Replace Furnace and Humidifier","","0","75","75","Robertson Morrison Inc","-83.6954","42.31025"
"MECH21-0312","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R1D","","PACKARD LAWN ADDIT","","09-09-33-329-001","1111 HENRY ST","","Ann Arbor","48104","Replacing HVAC with new + humidifier","","0","190","190","365 Mechanical LLC","-83.73552","42.26177"
"MECH21-0314","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R4A","","","","09-09-15-104-178","2738 S SPURWAY DR","","Ann Arbor","48105","Furnace-A/C-humidifier-ductwork Vent dryer -rangehood-bath","(2/1/2021 10:14 AM CHH2)
fans- registers- grills","0","300","300","Mulligan Htg Inc","",""
"MECH21-0315","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R4A","","","","09-09-15-104-179","2740 S SPURWAY DR","","Ann Arbor","48105","Furnace-A/C-humidifier-ductwork Vent dryer -rangehood-bath","(2/1/2021 10:14 AM CHH2)
fans- registers- grills","0","300","300","Mulligan Htg Inc","",""
"MECH21-0316","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R4A","","","","09-09-15-104-182","2746 S SPURWAY DR","","Ann Arbor","48105","Furnace-A/C-humidifier-ductwork Vent dryer -rangehood-bath","(2/1/2021 10:14 AM CHH2)
fans- registers- grills","0","300","300","Mulligan Htg Inc","",""
"MECH21-0317","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R4A","","","","09-09-15-104-180","2742 S SPURWAY DR","","Ann Arbor","48105","Furnace-A/C-humidifier-ductwork Vent dryer -rangehood-bath","(2/1/2021 10:14 AM CHH2)
fans- registers- grills","0","300","300","Mulligan Htg Inc","",""
"MECH21-0318","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-03 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R3","","","","09-12-10-401-013","3339 BRAEBURN CIR","","ANN ARBOR","48108","Install Gas Line to Dryer","","0","65","65","Fauser Thomas","-83.7051","42.23187"
"MECH21-0320","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-08-03 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R1A","","ASSESSOR'S PLAT NO","","09-09-34-109-010","1041 ARLINGTON BLVD","","Ann Arbor","48104","Ductwork","","0","90","90","Maurer Htg & Clg Co","-83.70791","42.26972"
"MECH21-0321","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R1C","","PITTSFIELD HILLS S","","09-12-02-402-022","3 GALLWAY CT","","Ann Arbor","48104","Replace Gas Furnace","","0","100","100","Indoor Comfort Co","-83.6887","42.24924"
"MECH21-0322","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R1B","","EARHART KNOLLS SUB","","09-09-23-409-042","1240 FAIRMOUNT DR","","Ann Arbor","48105","50 Gal Standard Vent Water Heater","","0","65","65","Haley Mechanical","-83.68418","42.29117"
"MECH21-0325","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R1C","","SMOKLER BOLGOS SUB","","09-09-14-201-021","3256 BLUETT DR","","Ann Arbor","48105","Replace Furnace and Humidifier","","0","110","110","Robertson Morrison Inc","-83.6954","42.31025"
"ELEC21-0278","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","MECH21-0319","ELECTRICAL","ELECTRICAL","ISSUED","","","NORTH CAMPUS HEIGH","","09-09-15-401-022","2814 BRIARCLIFF ST","","Ann Arbor","48105","Replace A/C & furnace","","0","100","100","Prime Time Heating & Cooling LLC","-83.70658","42.30518"
"ELEC21-0280","2021-02-01 00:00:00","2021-02-01 00:00:00","2021-02-01 00:00:00","","2021-07-31 00:00:00","","","ELECTRICAL","ELECTRICAL","ISSUED","R1B","","GLACIER HIGHLANDS","","09-09-23-400-018","3745 CHARTER PL","","Ann Arbor","48105","Replace panel - underground","","0","95","95","Mister Sparky","-83.68803","42.29098"
